MO  effCR   nrRE      par1      par2     MSE
2 0.111111 144 -3.829266 1.743309 0.001990436
2 0.111111 288 -4.952836 2.174309 0.001313617
2 0.111111 432 -5.356282 2.486262 0.001024011
2 0.111111 576 -5.587879 2.785045 0.001010888
2 0.111111 720 -5.743397 3.038138 0.0006477969
2 0.111111 1440 -6.075221 4.020386 0.001208281
2 0.1125 2880 -6.198978 5.601822 0.0004561522
2 0.110185 4320 -6.359087 6.688298 0.0004243343
2 0.111806 5760 -6.327774 7.793775 0.0003492151
2 0.111667 7200 -6.352767 8.691899 0.000400302
2 0.111481 10800 -6.387707 10.66425 0.000274899
2 0.110278 14400 -6.444618 12.34156 0.0001334441
2 0.138889 144 -3.271148 1.866409 0.001729744
2 0.138889 288 -4.19856 2.329721 0.001234797
2 0.138889 432 -4.613304 2.745139 0.001015864
2 0.145833 576 -4.618682 3.119046 0.0009261962
2 0.144444 720 -4.775342 3.375801 0.001090664
2 0.141667 1440 -5.082195 4.557174 0.0005132945
2 0.140278 2880 -5.247345 6.124245 0.0003921592
2 0.141667 4320 -5.247092 7.345868 0.0007949256
2 0.142361 5760 -5.248645 8.481425 0.0003914831
2 0.140556 7200 -5.31191 9.373403 0.0005004778
2 0.141111 10800 -5.311995 11.46305 0.000355179
2 0.141389 14400 -5.310816 13.18169 0.0001800733
2 0.194444 144 -2.314635 2.073975 0.001641513
2 0.180556 288 -3.260738 2.566917 0.001042625
2 0.185185 432 -3.451926 2.993843 0.001087666
2 0.180556 576 -3.725146 3.35701 0.0007444798
2 0.183333 720 -3.7609 3.759685 0.0006356342
2 0.180556 1440 -4.05447 5.000555 0.0005822063
2 0.184722 2880 -4.070607 7.061805 0.00046563
2 0.182407 4320 -4.166684 8.609102 0.0001939383
2 0.18125 5760 -4.214776 9.934244 0.0001350329
2 0.180556 7200 -4.24368 11.01584 0.0001998583
2 0.182593 10800 -4.199369 13.70089 3.61942e-05
2 0.181389 14400 -4.236265 15.93431 7.238327e-05
2 0.25 144 -1.552857 2.304461 0.001110182
2 0.25 288 -2.116173 2.895931 0.0009117391
2 0.240741 432 -2.454974 3.345649 0.0008930995
2 0.243056 576 -2.515292 3.740899 0.0009254393
2 0.244444 720 -2.574376 4.161276 0.000654879
2 0.241667 1440 -2.757583 5.640072 0.0003781359
2 0.240278 2880 -2.85424 7.733889 0.0003809613
2 0.241667 4320 -2.85449 9.214375 0.0003366316
2 0.242361 5760 -2.857041 10.7158 0.0002675277
2 0.242778 7200 -2.848562 12.15146 0.0001015191
2 0.241852 10800 -2.872643 14.49303 0.0001072103
2 0.241944 14400 -2.773354 14.83731 0.000244069
2 0.305556 144 -0.6880187 2.422899 0.001303436
2 0.305556 288 -1.361565 3.188494 0.0008298826
2 0.305556 432 -1.617224 3.781205 0.0004801496
2 0.305556 576 -1.730914 4.290173 0.0006132803
2 0.3 720 -1.838825 4.696807 0.0003697079
2 0.302778 1440 -1.905789 6.503229 0.0002207491
2 0.301389 2880 -1.987636 9.132692 0.0001528944
2 0.300926 4320 -2.006735 10.99427 0.0001604177
2 0.303472 5760 -1.982404 12.74901 0.0001399544
2 0.300556 7200 -2.00964 14.34218 1.435515e-05
2 0.301852 10800 -1.904178 14.09833 0.0001614923
2 0.301944 14400 -1.92144 16.31098 9.13428e-05
2 0.388889 144 0.4588552 2.603968 0.0009658104
2 0.375 288 -0.3262255 3.436123 0.0006023072
